,Age,Height(cm),Weight(kg),Gender,Physical Activity,Calories
929,19,205,88,0,3,3697
930,41,205,47,1,4,2545
931,28,211,37,0,2,2228
932,57,175,110,1,1,2420
933,46,159,47,0,2,1890
934,32,153,89,0,1,2520
935,38,134,87,1,3,2592
936,54,205,91,0,2,3076
937,37,177,120,0,3,4028
938,21,155,89,0,0,2286
939,45,159,73,1,1,1952
940,24,203,116,0,4,4712
941,52,183,36,1,2,1739
942,41,165,99,1,4,3223
943,37,168,97,1,4,3239
944,59,193,106,1,0,2124
945,42,144,80,1,4,2758
946,24,185,82,0,1,2665
947,57,147,40,1,3,1769
948,19,144,83,0,2,2764
949,56,193,36,0,3,2033
950,36,205,45,1,1,1846
951,29,185,74,0,0,2163
952,54,203,105,0,0,2595
953,34,189,101,1,3,3139
954,50,139,65,1,3,2178
955,42,146,46,0,1,1604
956,23,143,114,0,1,2985
957,31,156,44,0,1,1719
958,44,211,49,1,1,1875
959,23,183,58,1,3,2503
960,60,165,38,0,0,1258
961,53,173,96,0,4,3617
962,54,189,43,1,0,1436
963,25,165,52,1,3,2296
964,50,188,113,0,0,2664
965,58,203,103,0,3,3645
966,27,178,50,1,1,1848
967,45,185,43,0,3,2236
968,19,169,88,0,1,2709
969,55,135,56,0,2,1820
970,24,152,61,0,0,1798
971,36,160,96,1,1,2303
972,40,178,64,1,2,2197
973,34,171,117,0,3,3938
974,20,157,103,0,2,3267
975,28,160,108,0,3,3698
976,51,171,61,0,1,1975
977,23,149,35,0,0,1370
978,29,165,72,0,2,2604
979,39,139,96,1,4,3034
980,48,204,54,1,2,2125
981,31,190,95,0,4,3984
982,49,204,56,0,0,1847
983,35,194,39,1,1,1729
984,30,143,103,1,4,3254
985,37,157,50,1,2,1915
986,29,178,90,1,3,2942
987,24,150,97,1,2,2643
988,47,176,83,0,4,3378
989,29,211,67,0,3,3163
990,50,204,79,1,4,3027
991,29,158,41,1,1,1637
992,45,156,63,0,1,1960
993,36,173,103,0,3,3612
994,41,206,64,0,1,2339
995,59,148,61,1,4,2307
996,38,143,63,0,1,1928
997,35,151,91,1,0,1926
998,37,168,72,1,1,2026
999,48,186,107,1,1,2482
1000,41,138,62,1,4,2414
1001,34,148,52,1,1,1704
1002,32,160,118,1,0,2275
1003,54,176,44,0,4,2310
1004,22,201,58,0,0,2046
1005,54,177,74,1,4,2748
1006,24,140,79,0,3,2902
1007,57,183,87,0,4,3436
1008,60,200,107,1,4,3413
1009,25,167,95,1,4,3296
1010,25,137,99,1,2,2602
1011,18,172,36,0,1,1779
1012,47,152,79,0,2,2494
1013,48,137,47,0,1,1516
1014,36,194,118,1,4,3769
1015,60,157,83,0,1,2218
1016,23,191,86,1,3,2992
1017,23,168,36,0,1,1713
1018,45,168,81,0,4,3276
1019,29,206,59,0,1,2341
1020,38,193,96,1,2,2741
1021,19,159,117,1,3,3346
1022,51,148,79,1,1,1946
1023,53,202,55,0,3,2576
1024,33,172,90,0,2,2994
1025,49,174,46,1,1,1649
1026,49,174,114,1,1,2514
1027,60,166,66,1,1,1804
1028,56,136,101,1,4,2964
1029,45,161,104,1,4,3255
1030,59,196,97,0,4,3787
1031,27,206,120,0,0,3037
1032,29,197,62,0,0,2039
1033,34,182,112,1,2,2944
1034,32,148,109,1,0,2130
1035,23,138,36,0,2,1708
1036,59,183,117,0,4,4178
1037,30,164,102,1,1,2432
1038,52,166,118,1,4,3472
1039,29,196,64,1,2,2357
1040,33,141,67,1,1,1871
1041,47,175,59,0,3,2504
1042,44,137,89,1,2,2331
1043,43,185,106,1,1,2495
1044,18,179,97,1,1,2504
1045,51,208,52,0,3,2576
1046,35,203,76,0,3,3246
1047,37,169,87,0,2,2875
1048,24,168,62,1,1,1976
1049,57,213,40,1,0,1476
1050,58,208,73,0,2,2689
1051,32,141,109,1,4,3332
1052,27,195,88,1,1,2404
1053,46,168,113,0,0,2576
1054,57,156,100,0,4,3520
1055,60,179,72,1,3,2429
1056,35,192,48,0,3,2508
1057,48,139,91,1,4,2872
1058,31,194,85,0,2,3072
1059,56,154,84,0,0,1961
1060,43,211,75,1,1,2211
1061,50,210,47,1,2,2040
1062,24,212,93,1,2,2883
1063,38,163,57,1,1,1808
1064,44,137,94,0,3,3027
1065,46,185,64,0,4,2987
1066,18,141,102,1,3,3018
1067,50,212,91,1,4,3285
1068,29,146,119,1,3,3233
1069,59,178,89,0,0,2159
1070,22,171,113,0,0,2757
1071,59,197,97,1,4,3228
1072,45,145,72,1,4,2598
1073,23,166,56,0,2,2332
1074,32,150,108,1,2,2747
1075,60,198,35,1,3,1940
1076,18,198,108,0,4,4528
1077,60,205,86,1,0,1941
1078,18,200,115,1,4,3900
1079,24,207,38,1,2,2071
1080,18,181,60,0,0,1990
1081,18,158,81,0,4,3476
1082,39,211,42,1,3,2278
1083,49,173,81,0,1,2372
1084,55,141,74,1,4,2528
1085,23,196,86,0,0,2460
1086,42,136,99,0,0,2194
1087,54,197,110,1,3,3176
1088,26,179,100,1,4,3447
1089,24,165,102,1,0,2157
1090,59,194,69,1,3,2468
1091,43,201,52,0,3,2596
1092,42,160,89,0,0,2172
1093,53,198,58,0,3,2612
1094,30,147,88,1,2,2459
1095,52,192,95,1,4,3221
1096,57,168,45,1,1,1563
1097,55,151,115,0,4,3878
1098,25,195,67,1,4,2969
1099,35,162,72,1,3,2524
1100,36,151,50,1,3,2107
1101,56,160,41,0,2,1685
1102,56,137,91,1,1,2022
1103,40,155,47,0,4,2346
1104,39,205,70,1,4,2966
1105,52,208,88,1,3,2898
1106,19,159,47,1,3,2229
1107,47,157,35,1,4,2002
1108,22,181,54,0,1,2138
1109,27,141,105,1,2,2694
1110,46,207,118,0,1,3302
1111,28,164,93,1,1,2329
1112,38,199,51,0,1,2077
1113,43,144,64,1,1,1786
1114,31,202,54,0,2,2488
1115,18,178,98,1,3,3152
1116,46,153,87,0,3,2979
1117,46,184,36,0,2,1848
1118,25,154,105,1,4,3396
1119,40,168,58,1,1,1830
1120,43,212,118,1,0,2411
1121,27,155,80,1,2,2403
1122,37,168,58,0,2,2265
1123,51,161,47,1,3,2001
1124,24,146,50,0,1,1818
1125,36,173,88,1,0,1969
1126,20,176,41,1,1,1767
1127,52,202,118,1,4,3684
1128,30,180,83,1,0,1971
1129,31,173,68,0,4,3141
1130,59,192,68,1,2,2194
1131,60,193,72,1,4,2757
1132,54,144,97,1,0,1868
1133,44,207,118,0,2,3739
1134,47,190,82,1,0,1909
1135,55,145,91,0,2,2621
1136,44,154,66,0,3,2521
1137,33,169,53,1,0,1582
1138,56,192,110,0,0,2598
1139,52,189,55,1,0,1579
1140,35,182,75,0,1,2430
1141,37,160,79,1,1,2081
1142,31,189,83,0,0,2317
1143,22,168,92,0,0,2402
1144,22,213,73,0,2,3043
1145,35,139,85,1,0,1815
1146,37,139,85,0,3,2905
1147,20,188,113,0,1,3287
1148,24,136,106,1,1,2399
1149,22,140,101,1,4,3268
1150,22,201,66,1,2,2457
1151,24,167,73,0,2,2683
1152,38,171,112,1,1,2541
1153,25,203,114,1,2,3134
1154,51,187,117,0,2,3508
1155,31,184,95,0,1,2843
1156,49,165,116,0,1,2964
1157,29,177,104,1,3,3160
1158,54,193,103,0,4,3967
1159,34,143,71,0,2,2375
1160,23,137,103,0,2,3092
1161,34,190,54,0,1,2104
1162,37,201,75,0,2,2863
1163,27,208,68,0,1,2535
1164,40,143,42,0,2,1720
1165,37,191,117,1,4,3725
1166,19,192,110,0,1,3266
1167,56,185,56,1,0,1555
1168,24,194,92,1,0,2154
1169,24,194,70,0,3,3141
1170,46,209,43,0,3,2425
1171,23,180,88,0,1,2750
1172,53,139,97,1,4,2936
1173,37,169,94,1,2,2604
1174,43,205,62,1,4,2792
1175,37,188,88,0,3,3380
1176,43,196,88,1,0,2018
1177,47,156,71,1,1,1902
1178,40,138,86,1,4,2844
1179,46,141,76,1,4,2637
1180,35,192,38,1,0,1490
1181,39,139,86,0,3,2908
1182,25,147,58,1,2,2063
1183,38,148,109,0,0,2451
1184,24,162,50,0,3,2413
1185,44,192,42,0,4,2513
1186,58,181,97,0,1,2649
1187,58,184,108,0,3,3603
1188,28,169,49,1,1,1791
1189,23,134,111,1,4,3400
1190,20,140,93,0,3,3264
1191,50,164,93,1,4,3038
1192,34,158,45,0,3,2167
1193,52,184,58,1,1,1827
1194,58,200,82,0,1,2498
1195,57,200,83,0,1,2525
1196,40,173,61,1,3,2370
1197,57,203,109,1,2,2848
1198,23,138,79,1,1,2070
1199,20,189,63,0,2,2675
1200,27,160,118,1,0,2301
1201,48,160,75,1,1,1964
1202,19,178,119,1,1,2773
1203,47,162,69,1,3,2387
1204,48,205,120,0,2,3731
1205,42,190,118,0,2,3631
1206,37,165,43,0,4,2367
1207,58,157,72,1,4,2562
1208,41,139,114,0,1,2818
1209,24,170,55,1,0,1654
1210,49,201,86,0,1,2649
1211,52,181,37,0,1,1591
1212,28,178,118,1,4,3740
1213,42,161,102,1,3,2945
1214,48,201,44,1,3,2189
1215,22,134,116,0,4,4105
1216,53,151,46,0,3,1946
1217,33,185,48,1,1,1817
1218,52,167,90,1,0,1886
1219,37,196,64,1,1,2043
1220,20,163,76,1,3,2706
1221,43,135,60,0,2,2008
1222,48,176,72,1,0,1740
1223,30,139,94,0,2,2858
1224,47,143,103,1,4,3115
1225,38,186,72,1,3,2630
1226,23,210,115,0,2,3884
1227,23,141,49,1,3,2135
1228,30,153,47,0,2,1987
1229,39,175,58,1,3,2341
1230,41,171,103,1,1,2409
1231,42,197,71,0,0,2095
1232,52,213,52,1,4,2589
1233,25,136,113,0,3,3644
1234,35,171,67,1,0,1734
1235,24,166,75,1,2,2404
1236,36,178,99,1,1,2418
1237,57,171,118,0,3,3736
1238,26,136,76,0,3,2780
1239,58,210,67,1,4,2786
1240,22,152,88,0,1,2573
1241,35,189,74,1,2,2427
1242,29,151,98,0,2,3039
1243,22,157,46,1,2,1959
1244,45,142,99,1,4,3055
1245,20,205,65,0,3,3155
1246,35,202,51,1,1,1915
1247,31,158,63,0,2,2347
1248,28,149,110,1,4,3429
1249,35,209,74,1,0,1953
1250,24,184,45,0,4,2732
1251,20,188,86,1,2,2694
1252,25,159,35,1,2,1791
1253,50,162,81,0,2,2584
1254,38,177,63,1,4,2686
1255,28,212,43,1,4,2623
1256,29,159,101,1,2,2710
1257,29,185,108,1,2,2935
1258,33,211,65,0,3,3078
1259,49,135,58,0,2,1914
1260,30,180,99,0,3,3636
1261,18,161,66,0,4,3121
1262,26,189,84,0,2,3058
1263,22,206,105,1,0,2353
1264,42,205,97,0,2,3306
1265,25,183,117,1,3,3429
1266,24,178,49,1,4,2561
1267,32,177,71,0,2,2646
1268,58,199,113,0,3,3843
1269,37,150,73,1,2,2212
1270,55,210,36,1,1,1640
1271,37,138,47,1,3,1982
1272,19,171,114,0,2,3608
1273,55,168,65,0,0,1743
1274,56,196,117,1,4,3599
1275,28,164,117,1,4,3641
1276,33,191,108,1,2,2937
1277,56,168,89,0,2,2741
1278,41,164,113,0,3,3719
1279,47,179,84,1,4,2993
1280,22,200,83,1,1,2391
1281,46,161,45,1,0,1395
1282,49,166,95,1,4,3093
1283,55,148,83,1,0,1722
1284,26,177,92,0,0,2427
1285,52,194,46,0,3,2312
1286,38,191,83,0,4,3612
1287,37,154,41,1,0,1372
1288,47,203,53,1,2,2112
1289,31,180,38,1,3,2108
1290,48,179,117,0,3,3868
1291,53,209,36,1,4,2277
1292,18,155,76,0,4,3321
1293,41,153,94,1,1,2218
1294,34,155,56,0,2,2153
1295,26,135,101,0,0,2330
1296,51,206,61,1,2,2214
1297,29,175,77,0,1,2468
1298,55,143,46,0,0,1294
1299,45,212,107,1,3,3275
1300,40,210,46,1,3,2329
1301,55,143,42,0,3,1768
1302,35,138,44,0,3,1968
1303,46,180,63,0,4,2916
1304,48,179,98,1,2,2635
1305,46,167,70,1,1,1942
1306,22,206,74,1,0,2009
1307,43,184,40,1,0,1441
1308,34,184,104,1,1,2519
1309,54,206,81,0,2,2876
1310,52,153,75,0,0,1838
1311,57,155,81,1,2,2216
1312,18,174,64,0,2,2601
1313,30,175,76,1,4,2968
1314,36,159,111,1,1,2489
1315,30,138,116,1,3,3135
1316,54,145,47,1,1,1509
1317,44,146,72,1,1,1890
1318,34,192,74,0,0,2169
1319,49,166,110,0,3,3588
1320,35,179,48,0,3,2400
1321,29,213,85,1,2,2740
1322,46,150,89,1,1,2112
1323,25,204,61,1,4,2917
1324,45,165,59,1,4,2488
1325,33,134,98,1,1,2235
1326,41,180,38,1,1,1621
1327,47,187,88,1,3,2824
1328,44,168,83,1,2,2394
1329,25,157,115,1,4,3589
1330,47,163,35,0,2,1662
1331,47,156,51,1,2,1858
1332,35,204,62,1,1,2064
1333,33,140,55,0,1,1800
1334,18,144,53,0,2,2150
1335,32,179,57,1,3,2398
1336,36,195,85,0,1,2692
1337,21,187,92,0,2,3253
1338,49,199,66,0,3,2845
1339,22,182,111,1,1,2671
1340,32,209,35,1,3,2208
1341,42,163,67,1,3,2398
1342,45,158,61,0,4,2675
1343,32,165,38,0,3,2083
1344,58,199,103,1,1,2427
1345,54,198,87,0,0,2277
1346,35,174,68,1,4,2781
1347,24,192,87,1,3,3006
1348,58,207,71,0,4,3236
1349,59,136,84,0,3,2641
1350,21,144,118,0,0,2689
1351,34,137,84,0,1,2307
1352,18,155,60,1,2,2177
1353,40,143,66,0,4,2720
1354,24,136,79,1,1,2056
1355,34,190,65,1,2,2309
1356,44,198,60,0,4,3025
1357,57,147,101,1,4,3021
1358,46,137,87,0,2,2557
1359,41,152,48,1,4,2251
1360,28,207,67,1,4,3015
1361,57,202,101,1,0,2112
1362,52,205,70,1,3,2595
1363,53,196,54,0,1,1995
1364,27,169,115,0,4,4344
1365,45,207,85,0,2,3045
1366,51,190,75,0,0,2058
1367,26,189,105,0,3,3888
1368,28,213,89,0,4,4073
1369,22,151,52,0,3,2388
1370,47,138,40,0,3,1758
1371,27,200,62,1,1,2094
1372,27,194,46,0,2,2297
1373,18,176,85,1,1,2338
1374,28,189,53,1,1,1927
1375,31,193,83,1,4,3189
1376,25,203,48,1,0,1694
1377,57,173,88,1,1,2131
1378,44,154,58,1,1,1746
1379,37,211,56,1,1,2005
1380,19,152,110,0,0,2620
1381,26,139,94,0,1,2567
1382,22,213,120,0,4,4927
1383,40,156,94,0,1,2570
1384,45,207,72,1,4,2963
1385,35,160,44,0,3,2151
1386,26,178,92,0,2,3142
1387,35,157,86,1,1,2169
1388,46,208,105,0,4,4240
1389,59,194,94,0,3,3352
1390,45,151,95,1,2,2478
1391,56,135,59,0,1,1662
1392,26,201,102,0,3,3918
1393,20,205,113,0,3,4265
1394,60,211,78,0,3,3114
1395,40,149,64,1,2,2058
1396,37,156,86,0,2,2757
1397,60,161,57,0,3,2214
1398,49,151,64,0,1,1914
1399,37,195,66,1,3,2590
1400,25,162,64,1,3,2471
1401,19,173,102,1,3,3181
1402,29,165,77,1,0,1854
1403,18,180,97,1,1,2508
1404,22,146,53,1,2,2006
1405,43,164,37,0,4,2141
1406,33,137,84,1,4,2861
1407,23,163,87,0,0,2286
1408,37,158,45,0,0,1487
1409,59,145,66,0,2,2066
1410,31,158,110,1,0,2184
1411,57,157,87,1,3,2573
1412,22,195,109,1,0,2357
1413,34,181,75,1,2,2409
1414,43,149,59,1,0,1522
1415,37,173,92,0,0,2329
1416,53,163,80,1,2,2267
1417,59,198,43,1,0,1443
1418,58,171,117,1,2,2802
1419,58,151,37,0,3,1689
1420,35,187,50,1,4,2541
1421,47,161,50,0,3,2180
1422,21,149,41,1,0,1436
1423,53,206,105,0,2,3383
1424,37,190,59,1,1,1954
1425,21,170,47,0,1,1945
1426,45,147,35,1,3,1779
1427,25,199,60,0,4,3239
1428,51,141,87,0,0,1969
1429,24,150,103,1,3,3037
1430,59,147,105,0,4,3544
1431,37,143,39,1,2,1691
1432,34,138,58,1,4,2402
1433,23,201,57,0,1,2318
1434,50,167,48,1,1,1639
1435,58,150,92,0,0,2053
1436,41,159,73,0,2,2474
1437,28,198,112,1,0,2370
1438,49,147,89,0,2,2647
1439,43,212,61,1,4,2816
1440,25,158,35,0,0,1408
1441,40,188,65,1,1,2004
1442,50,137,63,1,1,1702
1443,37,143,46,0,1,1623
1444,31,156,92,0,1,2603
1445,39,198,37,0,4,2494
1446,53,212,53,1,0,1637
1447,52,203,50,1,3,2266
1448,33,176,67,1,2,2277
1449,46,203,81,1,3,2805
1450,54,210,100,0,0,2555
1451,28,173,38,1,3,2093
1452,37,199,70,0,3,3055
1453,22,162,119,0,0,2802
1454,18,151,109,1,0,2214
1455,35,138,69,1,4,2587
1456,56,164,68,1,0,1610
1457,30,196,58,0,1,2249
1458,19,140,97,1,2,2628
1459,22,164,53,0,4,2775
1460,50,203,90,1,1,2326
1461,22,134,91,0,2,2829
1462,39,199,83,1,1,2286
1463,38,155,82,0,2,2658
1464,36,196,43,0,4,2661
1465,32,158,57,1,4,2518
1466,30,206,83,1,4,3274
1467,44,179,103,1,3,3042
1468,57,160,73,0,1,2077
1469,39,174,89,1,2,2543
1470,19,163,100,1,2,2782
1471,30,145,90,1,2,2478
1472,47,168,117,1,2,2861
1473,59,181,83,0,0,2080
1474,38,140,93,0,4,3401
1475,26,210,80,1,1,2372
1476,28,146,67,1,4,2656
1477,21,194,76,0,2,2973
1478,28,206,110,0,0,2870
1479,27,170,103,0,1,2929
1480,35,184,100,0,3,3643
1481,18,187,81,0,1,2707
1482,38,206,55,0,3,2756
1483,40,204,98,0,2,3337
1484,51,151,36,0,4,1910
1485,60,151,45,1,3,1848
1486,42,160,36,1,3,1887
1487,54,136,91,1,4,2805
1488,54,207,100,1,3,3070
1489,54,180,68,1,0,1680
1490,47,142,107,1,4,3179
1491,48,189,52,0,2,2200
1492,18,161,106,1,3,3188
1493,59,178,35,1,4,2027
1494,41,136,83,0,0,1944
1495,46,168,51,1,0,1488
1496,41,152,117,1,1,2506
1497,27,166,101,0,3,3596
1498,57,197,107,1,0,2160
1499,33,156,49,1,2,1923
1500,35,164,70,1,4,2757
1501,29,207,63,0,2,2729
1502,59,149,36,0,1,1307
1503,39,210,112,1,4,3733
1504,45,168,117,0,2,3420
1505,32,179,75,0,2,2744
1506,34,151,85,0,1,2418
1507,27,193,84,1,4,3240
1508,48,153,49,1,2,1808
1509,30,159,55,0,0,1701
1510,30,168,62,1,4,2681
1511,55,163,70,0,0,1795
1512,19,137,104,0,3,3503
1513,32,191,96,0,0,2531
1514,40,197,50,1,4,2559
1515,40,178,45,1,0,1490
1516,58,185,39,1,3,1949
1517,45,213,46,1,1,1839
1518,58,190,119,0,2,3510
1519,20,135,36,1,1,1529
1520,31,210,42,0,4,2817
1521,36,152,44,1,2,1812
1522,30,209,81,0,0,2407
1523,57,165,64,1,1,1792
1524,49,193,103,1,0,2142
1525,58,142,43,1,0,1240
1526,44,213,73,1,2,2467
1527,50,159,84,1,0,1800
1528,47,151,114,0,3,3576
1529,28,149,85,0,2,2763
1530,32,205,43,1,4,2549
1531,37,169,54,0,4,2684
1532,40,147,53,1,4,2317
1533,42,180,66,1,0,1720
1534,57,178,52,0,0,1578
1535,43,161,50,0,3,2219
1536,54,150,112,1,2,2656
1537,52,149,52,0,2,1867
1538,41,146,61,0,1,1888
1539,35,208,85,0,2,3141
1540,42,135,44,0,2,1685
1541,38,177,66,1,1,1982
1542,50,135,59,1,4,2270
1543,22,139,61,1,1,1852
1544,35,154,90,0,1,2522
1545,53,166,94,0,2,2857
1546,57,202,116,0,1,3146
1547,47,189,57,1,4,2577
1548,27,141,113,0,4,4038
1549,51,204,81,0,1,2561
1550,38,166,119,0,0,2716
1551,45,181,35,0,0,1404
1552,57,145,60,1,3,2078
1553,32,200,45,0,1,2020
1554,38,193,98,1,1,2457
1555,31,166,78,0,4,3332
1556,53,181,95,0,1,2652
1557,37,186,75,0,2,2752
1558,43,156,89,0,4,3391
1559,43,161,50,1,0,1467
1560,41,210,69,1,1,2143
1561,45,213,117,1,1,2742
1562,45,190,86,1,2,2536
1563,56,146,52,1,4,2162
1564,48,136,85,0,0,1928
1565,43,165,59,1,2,2043
1566,42,140,100,1,0,1948
1567,32,166,74,0,3,2923
1568,23,176,59,1,1,1978
1569,42,189,94,0,4,3830
1570,53,189,56,1,4,2510
1571,34,155,116,1,4,3521
1572,37,194,58,0,0,1903
1573,47,140,91,0,2,2654
1574,28,191,103,0,1,3060
1575,35,164,108,0,3,3663
1576,44,160,96,1,2,2542
1577,52,155,47,1,2,1762
1578,37,202,115,0,0,2866
1579,29,165,86,0,1,2568
1580,50,155,105,0,3,3372
1581,35,176,118,0,4,4398
1582,40,175,62,0,3,2642
1583,56,187,84,1,2,2419
1584,48,172,106,0,2,3195
1585,30,187,52,1,0,1653
1586,21,177,60,1,1,2007
1587,55,169,81,0,1,2299
1588,42,167,62,0,0,1778
1589,43,181,76,0,3,2986
1590,35,174,67,1,0,1745
1591,22,171,81,1,0,1957
1592,32,189,59,1,3,2484
1593,18,203,73,1,2,2594
1594,22,208,56,0,3,2953
1595,38,193,106,0,2,3439
1596,48,142,116,0,1,2820
1597,48,137,119,0,1,2842
1598,58,202,36,0,2,1876
1599,21,188,112,1,0,2369
1600,26,158,87,0,4,3542
1601,53,170,114,1,1,2473
1602,32,159,53,0,2,2138
1603,28,142,68,0,3,2625
1604,45,182,42,0,3,2189
1605,57,136,115,0,1,2692
1606,45,139,97,0,2,2789
1607,31,170,88,0,2,2956
1608,27,134,65,0,4,2753
1609,41,157,43,1,0,1384
1610,33,174,94,1,1,2355
1611,46,166,61,1,4,2520
1612,35,186,57,1,4,2658
1613,21,163,118,1,0,2343
1614,39,188,101,0,2,3289
1615,47,175,113,1,0,2197
1616,33,204,78,1,3,2859
1617,54,169,111,1,2,2733
1618,20,165,57,1,1,1923
1619,36,154,116,0,1,2993
1620,37,202,81,0,1,2657
1621,39,144,106,0,1,2719
1622,43,182,71,1,3,2556
1623,38,211,90,0,1,2875
1624,32,206,68,0,2,2799
1625,59,141,67,0,1,1825
1626,31,183,77,1,1,2189
1627,56,178,38,0,1,1558
1628,27,139,90,0,4,3434
1629,52,192,57,1,1,1848
1630,45,160,83,0,3,2954
1631,37,162,86,0,1,2485
1632,38,203,69,1,0,1859
1633,19,181,71,0,0,2160
1634,34,158,79,1,4,2888
1635,39,179,119,0,2,3596
1636,41,154,110,0,4,3929
1637,25,140,90,0,2,2827
1638,57,195,97,0,4,3800
1639,38,136,117,1,1,2456
1640,27,200,114,0,2,3754
1641,24,205,94,0,4,4170
1642,24,147,39,1,4,2203
1643,49,153,90,1,0,1849
1644,24,159,53,0,1,1959
1645,31,174,117,1,2,2998
1646,28,183,96,0,0,2512
1647,35,161,96,1,2,2607
1648,48,211,71,1,3,2673
1649,59,205,50,0,1,1934
1650,43,188,53,0,0,1747
1651,57,211,66,1,0,1757
1652,53,169,109,0,3,3551
1653,22,202,61,0,1,2406
1654,54,158,120,1,3,3127
1655,20,146,111,1,2,2851
1656,42,191,109,1,4,3544
1657,30,135,82,0,0,1997
1658,51,197,41,0,0,1552
1659,19,204,119,1,1,2884
1660,28,174,65,0,3,2820
1661,53,207,80,1,3,2758
1662,20,203,52,1,3,2537
1663,37,151,110,0,3,3582
1664,60,195,86,0,2,2845
1665,47,192,101,1,3,3058
1666,43,153,73,1,2,2186
1667,20,144,99,0,3,3436
1668,51,149,57,1,0,1458
1669,46,142,114,1,4,3310
1670,54,137,75,1,2,2064
1671,47,207,82,1,0,1972
1672,54,208,106,1,3,3171
1673,37,151,89,1,3,2722
1674,33,155,118,0,2,3449
1675,50,178,68,1,4,2681
1676,45,167,41,0,4,2248
1677,47,161,102,0,0,2352
1678,40,169,113,0,1,3005
1679,57,171,116,0,0,2567
1680,42,186,81,0,4,3472
1681,43,213,99,0,0,2631
1682,25,165,99,0,0,2477
1683,24,151,111,0,1,2975
1684,32,138,119,1,1,2525
1685,20,144,106,1,4,3395
1686,40,139,90,0,1,2384
1687,25,141,79,1,3,2599
1688,53,157,45,0,2,1772
1689,23,136,120,0,3,3826
1690,53,134,65,0,2,2017
1691,44,153,94,1,0,1920
1692,42,167,96,0,2,3003
1693,42,161,68,0,0,1840
1694,44,145,83,1,1,2026
1695,55,171,90,0,3,3109
1696,53,169,81,1,2,2310
1697,58,156,118,1,1,2434
1698,39,147,66,0,3,2512
1699,43,195,93,1,4,3278
1700,23,186,54,1,4,2704
1701,35,175,85,1,4,3085
1702,27,195,120,1,1,2811
1703,49,160,92,0,0,2172
1704,60,170,70,1,2,2110
1705,48,185,43,0,1,1759
1706,44,205,85,0,2,3039
1707,47,174,71,1,1,1979
1708,41,209,90,1,0,2099
1709,54,188,84,1,0,1887
1710,34,154,115,1,2,2853
1711,21,184,46,1,2,2095
1712,43,176,120,1,1,2634
1713,38,180,71,0,3,2911
1714,25,190,97,0,0,2589
1715,30,193,102,0,4,4200
1716,26,139,35,1,2,1688
1717,50,209,112,0,1,3173
1718,22,180,90,1,2,2700
1719,36,173,101,1,0,2113
1720,59,136,100,1,0,1845
1721,26,213,65,1,2,2473
1722,57,169,117,0,2,3322
1723,52,213,85,0,1,2686
1724,52,140,84,1,0,1719
1725,31,145,63,0,0,1742
1726,53,167,61,0,0,1687
1727,41,180,39,1,1,1633
1728,43,201,73,0,0,2144
1729,57,181,116,0,2,3390
1730,19,184,44,0,0,1743
1731,38,206,64,0,4,3265
1732,26,146,75,0,2,2551
1733,52,134,49,0,4,2076
1734,31,191,87,1,0,2051
1735,31,182,80,0,4,3529
1736,39,169,35,1,3,1942
1737,54,146,56,0,0,1479
1738,46,167,67,0,3,2632
1739,44,153,118,1,0,2186
1740,56,189,60,0,0,1777
1741,33,137,115,0,0,2518
1742,55,136,68,1,4,2393
1743,54,175,35,0,0,1308
1744,45,144,99,0,2,2867
1745,45,172,88,1,0,1919
1746,25,177,88,0,4,3752
1747,38,157,48,0,1,1745
1748,39,144,85,1,2,2341
1749,52,168,115,1,0,2167
1750,32,147,48,0,4,2384
1751,48,147,86,1,2,2310
1752,57,171,67,1,1,1856
1753,25,158,88,0,4,3578
1754,33,202,98,0,4,4148
1755,49,192,98,0,2,3168
1756,59,158,66,1,2,2002
1757,39,194,36,1,4,2303
1758,28,156,44,1,3,2098
1759,39,159,45,1,4,2256
1760,28,173,111,0,0,2696
1761,22,195,44,1,1,1874
1762,21,208,49,0,0,1948
1763,37,203,49,1,1,1882
1764,54,148,100,0,2,2839
1765,46,171,78,1,2,2324
1766,51,144,54,0,0,1455
1767,56,155,108,1,2,2610
1768,47,194,81,0,2,2848
1769,19,138,88,0,2,2823
1770,49,192,36,0,0,1456
1771,44,200,114,1,1,2654
1772,34,172,45,0,2,2051
1773,34,151,105,1,3,2999
1774,18,166,93,0,3,3499
1775,33,164,106,0,4,4005
1776,24,147,83,1,1,2154
1777,35,181,107,1,4,3507
1778,26,138,102,1,4,3240
1779,43,192,106,1,3,3167
1780,38,149,82,0,1,2318
1781,42,148,92,1,4,2992
1782,47,201,69,1,1,2069
1783,37,134,62,1,4,2424
1784,31,203,37,0,0,1658
1785,26,180,76,0,1,2506
1786,33,168,79,0,4,3354
1787,21,195,119,1,0,2473
1788,40,150,90,1,4,2985
1789,45,191,82,0,3,3187
1790,42,202,74,1,4,2994
1791,56,143,81,1,2,2165
1792,45,147,107,1,0,2037
1793,21,181,66,1,0,1833
1794,54,195,119,1,3,3309
1795,58,167,90,0,1,2428
1796,50,150,84,1,3,2540
1797,19,194,111,1,4,3786
1798,46,142,57,0,3,2194
1799,57,153,44,1,2,1676
1800,34,182,49,0,1,1959
1801,56,197,114,0,1,3084
1802,42,146,112,1,3,3025
1803,20,135,99,0,0,2338
1804,54,193,51,0,2,2156
1805,30,159,96,1,0,2037
